TYPE1,TYPE2,SUBJECT,ESSAY_GRADE,RUBRIC_ID,EXP,EXP_GRAMMAR,EXP_VOCAB,EXP_STYLE,ORG,ORG_ESSAY,ORG_PARAGRAPH,ORG_COHERENCE,ORG_QUANTITY,CON,CON_CLEARANCE,CON_NOVELTY,CON_PROMPT,CON_DESCRIPTION
수필,설명글,학습과 여가활동,초등_4학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
논술,주장,폭력 예방 방법,초등_6학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
논술,찬성반대,남한과 북한의 통일에 대한 본인의 생각,초등_4학년,1,3,4,3,0,3,3,0,0,1,4,4,3,1,2
수필,글짓기,바다 생물 이야기 짓기,초등_6학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
논술,대안제시,장애에 대한 부정적인 인식 개선방안,고등_2학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
논술,대안제시,학교 폭력에 대한 본인 생각 및 해결방안을 작성,중등_3학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,설명글,타인을 중시하지 않았던 사례,고등_2학년,1,4,2,3,2,2,3,3,2,1,4,4,3,0,1
수필,설명글,습관들이기 위한 노력과 경험,중등_1학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
논술,찬성반대,에너지 절약에 대한 본인의 생각,초등_6학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
논술,주장,미디어 발전과 사용방법,초등_5학년,1,3,4,3,0,3,3,0,0,1,4,4,3,1,2
수필,설명글,참된 스승,중등_1학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
논술,주장,e스포츠에 대한 본인 생각 작성,중등_3학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
논술,대안제시,혐오시설 건설문제에 대한 본인의 생각,고등_1학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,설명글,존경하는 위인에 대한 생각,초등_6학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
수필,설명글,가장 좋아하는 과목,초등_5학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
수필,글짓기,우주에 대한 나의 생각,고등_2학년,1,4,2,3,2,2,3,3,2,1,4,4,3,0,1
수필,글짓기,미래 도시에 대한 본인의 생각,중등_1학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
논술,주장,인종차별에 대한 본인의 생각,고등_2학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
논술,찬성반대,소수의 의견에 대한 본인의 생각,초등_5학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
논술,주장,다문화 가족을 대하는 본인의 자세,초등_5학년,1,3,4,3,0,3,3,0,0,1,4,4,3,1,2
논술,주장,평가에 대한 본인의 의견,고등_1학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
논술,주장,소비와 저축,고등_3학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
논술,찬성반대,사회적 불평등에 대한 본인의 생각 작성,중등_1학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
논술,찬성반대,비트코인,고등_3학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
수필,글짓기,미래의 나의 모습,중등_2학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
논술,대안제시,한류를 지키는 방법,중등_1학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
수필,설명글,국내 여행,중등_3학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
논술,주장,대체 에너지,고등_3학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
논술,대안제시,반려동물 증가와 유기에 대한 대안제시,초등_6학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
수필,설명글,본인의 성격,중등_2학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
수필,설명글,영화/독서감상문,고등_1학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
수필,설명글,살고 싶은 집,초등_4학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
논술,주장,SNS상의 문제에 대한 본인의 생각 작성,중등_1학년,1,3,3,3,0,3,7,0,2,1,4,4,2,1,2
논술,주장,과학의 발전에 대한 본인의 생각,초등_4학년,1,3,4,3,0,3,3,0,0,1,4,4,3,1,2
논술,주장,생물학적으로 다른 남/여에 대한 본인의 생각 작성,중등_2학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,글짓기,소중함을 잃었던 경험,고등_1학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
논술,찬성반대,익명성에 대한 본인의 의견,고등_2학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
수필,설명글,나의 진로를 위한 노력,고등_3학년,1,4,2,3,2,2,3,3,2,1,4,4,3,0,1
수필,설명글,나의 취미,초등_5학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
수필,설명글,위생을 지키는 방법,초등_5학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
수필,설명글,이상형과 나의 노력,중등_2학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
수필,설명글,예절의 기준에 대한 의견,초등_4학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
논술,대안제시,남녀 갈등 해결 방안,고등_1학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
논술,찬성반대,징벌적 배상제도,고등_3학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
수필,설명글,친구에 대한 본인의 생각,초등_6학년,1,4,3,3,0,2,5,1,1,1,4,4,4,0,2
논술,주장,전통과 악습에 대한 본인 생각을 작성,중등_3학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
논술,찬성반대,동물 사육에 대한 본인 의견을 작성,중등_3학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
논술,찬성반대,카피레프트 운동에 대한 본인의 의견을 작성,중등_2학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,설명글,책임감을 느꼈던 사례,중등_3학년,1,4,2,3,1,2,4,2,2,1,4,4,3,0,1
논술,찬성반대,비혼주의자에 대한 본인의 의견,고등_1학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,설명글,나의 선행,초등_4학년,1,4,4,3,0,2,5,0,0,1,4,4,4,0,2
논술,주장,지적 재산권에 대한 본인의 생각 작성,고등_2학년,1,3,2,4,4,3,3,3,3,1,4,3,3,1,3
논술,대안제시,표절을 해결할 수 있는 대안제시,중등_2학년,1,3,2,4,4,3,6,0,3,1,4,3,3,1,3
수필,설명글,나의 위인전,고등_3학년,1,4,2,3,2,2,3,3,2,1,4,4,3,0,1
